ID,Date,PolicyType,value,Cases,Cases_New,Type,Source,J-28,J-21,J-14,J-7,J0,J7,J14,J21,J28,J35,J42
AD,2020-02-27,E3_diff,141399008,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,0,0,3,15,25
AD,2020-02-28,E3_diff,-141399008,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,0,0,3,16,26
AD,2020-03-02,H2_diff,1,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,0,1,8,21,29
AD,2020-03-11,H6_diff,2,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,1,14,23,33,37
AD,2020-03-13,C3_diff,1,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,3,16,26,35,40
AD,2020-03-13,C6_diff,1,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,3,16,26,35,40
AD,2020-03-13,E1_diff,2,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,3,16,26,35,40
AD,2020-03-14,C2_diff,3,0.0,0.0,Deaths,JHU,0,0,0,0,0,0,3,17,26,35,40
AD,2020-03-16,C1_diff,3,0.0,0.0,Deaths,JHU,0,0,0,0,0,1,8,21,29,37,40
AD,2020-03-25,C5_diff,1,1.0,0.0,Deaths,JHU,0,0,0,0,1,14,23,33,37,42,46
AD,2020-03-25,H1_diff,2,1.0,0.0,Deaths,JHU,0,0,0,0,1,14,23,33,37,42,46
AD,2020-03-27,H3_diff,1,3.0,0.0,Deaths,JHU,0,0,0,0,3,16,26,35,40,43,47
AD,2020-03-30,H4_diff,2509518,8.0,2.0,Deaths,JHU,0,0,0,1,8,21,29,37,40,45,48
AD,2020-03-31,H4_diff,-2509518,12.0,4.0,Deaths,JHU,0,0,0,1,12,22,31,37,41,46,48
AD,2020-04-08,C8_diff,3,23.0,1.0,Deaths,JHU,0,0,1,14,23,33,37,42,46,49,51
AD,2020-04-18,H2_diff,2,35.0,0.0,Deaths,JHU,0,3,17,26,35,40,44,48,51,51,51
AD,2020-04-20,C2_diff,-1,37.0,1.0,Deaths,JHU,1,8,21,29,37,40,45,48,51,51,51
AD,2020-05-09,E2_diff,2,48.0,1.0,Deaths,JHU,26,35,40,44,48,51,51,51,51,51,52
AD,2020-05-11,C8_diff,-1,48.0,0.0,Deaths,JHU,29,37,40,45,48,51,51,51,51,51,52
AD,2020-05-27,E3_diff,137063808,51.0,0.0,Deaths,JHU,42,46,49,51,51,51,51,52,52,52,52
AD,2020-05-28,E3_diff,-137063808,51.0,0.0,Deaths,JHU,42,47,49,51,51,51,51,52,52,52,52
AD,2020-06-02,C1_diff,-3,51.0,0.0,Deaths,JHU,46,48,51,51,51,51,52,52,52,52,52
AD,2020-07-01,H1_diff,-2,52.0,0.0,Deaths,JHU,51,51,52,52,52,52,52,52,52,52,53
AD,2020-07-07,C3_diff,1,52.0,0.0,Deaths,JHU,51,52,52,52,52,52,52,52,52,52,53
AD,2020-07-07,C4_diff,3,52.0,0.0,Deaths,JHU,51,52,52,52,52,52,52,52,52,52,53
AD,2020-07-07,H2_diff,-1,52.0,0.0,Deaths,JHU,51,52,52,52,52,52,52,52,52,52,53
AD,2020-07-15,H6_diff,1,52.0,0.0,Deaths,JHU,52,52,52,52,52,52,52,52,53,53,53
AD,2020-07-21,C3_diff,-1,52.0,0.0,Deaths,JHU,52,52,52,52,52,52,52,52,53,53,53
AD,2020-07-22,H1_diff,1,52.0,0.0,Deaths,JHU,52,52,52,52,52,52,52,53,53,53,53
AD,2020-07-29,H3_diff,1,52.0,0.0,Deaths,JHU,52,52,52,52,52,52,53,53,53,53,53
AD,2020-08-12,E3_diff,18901028,53.0,1.0,Deaths,JHU,52,52,52,52,53,53,53,53,53,53,53
AD,2020-08-13,E3_diff,-18901028,53.0,0.0,Deaths,JHU,52,52,52,52,53,53,53,53,53,53,53
AD,2020-08-26,E4_diff,473499136,53.0,0.0,Deaths,JHU,52,52,53,53,53,53,53,53,53,53,53
AD,2020-09-21,C3_diff,1,53.0,0.0,Deaths,JHU,53,53,53,53,53,53,53,57,62,72,75
AD,2020-09-21,C4_diff,1,53.0,0.0,Deaths,JHU,53,53,53,53,53,53,53,57,62,72,75
AD,2020-10-16,C1_diff,1,59.0,0.0,Deaths,JHU,53,53,53,55,59,69,75,75,75,76,76
AD,2020-10-22,H1_diff,1,63.0,0.0,Deaths,JHU,53,53,54,59,63,73,75,75,76,76,77
