index,ID,Date,PolicyType,value,Cases,Cases_New,Type,Source,J-56,J-42,J-35,J-28,J-21,J-14,J-7,J0,J7,J14,J21,J28,J35,J42,J49,J56
658,AD,2020-02-27,E3_diff,141399008,0.0,0.0,Deaths,JHU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,25.0,33.0,37.0
676,AD,2020-02-28,E3_diff,-141399008,0.0,0.0,Deaths,JHU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,35.0,40.0
733,AD,2020-03-02,H2_diff,1,0.0,0.0,Deaths,JHU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,29.0,37.0,40.0
899,AD,2020-03-11,H6_diff,2,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,23.0,33.0,37.0,42.0,46.0
920,AD,2020-03-13,C3_diff,1,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,35.0,40.0,43.0,47.0
923,AD,2020-03-13,C6_diff,1,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,35.0,40.0,43.0,47.0
926,AD,2020-03-13,E1_diff,2,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,35.0,40.0,43.0,47.0
937,AD,2020-03-14,C2_diff,3,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,26.0,35.0,40.0,44.0,48.0
972,AD,2020-03-16,C1_diff,3,0.0,0.0,Deaths,JHU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,29.0,37.0,40.0,45.0,48.0
1138,AD,2020-03-25,C5_diff,1,1.0,0.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,23.0,33.0,37.0,42.0,46.0,49.0,51.0
1146,AD,2020-03-25,H1_diff,2,1.0,0.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,23.0,33.0,37.0,42.0,46.0,49.0,51.0
1184,AD,2020-03-27,H3_diff,1,3.0,0.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,35.0,40.0,43.0,47.0,49.0,51.0
1239,AD,2020-03-30,H4_diff,2509518,8.0,2.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,29.0,37.0,40.0,45.0,48.0,51.0,51.0
1257,AD,2020-03-31,H4_diff,-2509518,12.0,4.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,22.0,31.0,37.0,41.0,46.0,48.0,51.0,51.0
1393,AD,2020-04-08,C8_diff,3,23.0,1.0,Deaths,JHU,0.0,0.0,0.0,0.0,0.0,1.0,14.0,23.0,33.0,37.0,42.0,46.0,49.0,51.0,51.0,51.0
1579,AD,2020-04-18,H2_diff,2,35.0,0.0,Deaths,JHU,0.0,0.0,0.0,0.0,3.0,17.0,26.0,35.0,40.0,44.0,48.0,51.0,51.0,51.0,51.0,51.0
1603,AD,2020-04-20,C2_diff,-1,37.0,1.0,Deaths,JHU,0.0,0.0,0.0,1.0,8.0,21.0,29.0,37.0,40.0,45.0,48.0,51.0,51.0,51.0,51.0,51.0
