,Date,ID,Policy,Cases,Cases_New,Type,Source,J14,J-14,J7,J21
0,2020-01-26,CN,C1,56,14.0,Deaths,JHU,905,-10000,361,1766
1,2020-01-26,CN,C2,56,14.0,Deaths,JHU,905,-10000,361,1766
2,2020-01-22,CN,C3,17,17.0,Deaths,JHU,563,-10000,133,1117
3,2020-01-22,CN,C4,17,17.0,Deaths,JHU,563,-10000,133,1117
4,2020-01-23,CN,C5,18,1.0,Deaths,JHU,633,-10000,171,1369
5,2020-01-23,CN,C6,18,1.0,Deaths,JHU,633,-10000,171,1369
6,2020-01-23,CN,C7,18,1.0,Deaths,JHU,633,-10000,171,1369
7,2020-02-25,CN,C8,2665,70.0,Deaths,JHU,3139,1112,2947,3230
8,2020-04-11,CN,E1,3343,3.0,Deaths,JHU,4636,3299,4636,4637
9,2020-04-11,CN,I2D,3343,3.0,Deaths,JHU,4636,3299,4636,4637
10,2020-05-21,CN,E2,4638,0.0,Deaths,JHU,4638,4637,4638,4638
11,2020-02-04,CN,E3,491,66.0,Deaths,JHU,2003,-10000,1112,2665
12,2020-03-08,CN,E4,3100,28.0,Deaths,JHU,3274,2445,3203,3304
13,2020-02-23,CN,H4,2445,2.0,Deaths,JHU,3100,905,2872,3203
14,2020-03-05,IN,C1,0,0.0,Deaths,JHU,4,0,1,20
15,2020-03-05,IN,C3,0,0.0,Deaths,JHU,4,0,1,20
16,2020-03-16,IN,C2,2,0.0,Deaths,JHU,32,0,10,136
17,2020-03-16,IN,C7,2,0.0,Deaths,JHU,32,0,10,136
18,2020-03-19,IN,C4,4,1.0,Deaths,JHU,72,0,20,226
19,2020-03-19,IN,E3,4,1.0,Deaths,JHU,72,0,20,226
20,2020-03-20,IN,C5,5,1.0,Deaths,JHU,72,0,20,246
21,2020-03-20,IN,E1,5,1.0,Deaths,JHU,72,0,20,246
22,2020-01-26,IN,C6,0,0.0,Deaths,JHU,0,-10000,0,0
23,2020-01-26,IN,C8,0,0.0,Deaths,JHU,0,-10000,0,0
24,2020-01-26,IN,H3,0,0.0,Deaths,JHU,0,-10000,0,0
25,2020-03-01,IN,E2,0,0.0,Deaths,JHU,2,0,0,7
26,2020-03-01,IN,I2D,0,0.0,Deaths,JHU,2,0,0,7
27,2020-03-15,IN,E4,2,0.0,Deaths,JHU,27,0,7,99
28,2020-01-25,IN,H1,0,0.0,Deaths,JHU,0,-10000,0,0
29,2020-01-25,IN,H2,0,0.0,Deaths,JHU,0,-10000,0,0
30,2020-01-25,IN,I1D,0,0.0,Deaths,JHU,0,-10000,0,0
31,2020-01-25,IN,I3D,0,0.0,Deaths,JHU,0,-10000,0,0
32,2020-01-25,IN,I4D,0,0.0,Deaths,JHU,0,-10000,0,0
33,2020-01-25,IN,I4L,0,0.0,Deaths,JHU,0,-10000,0,0
34,2020-01-25,IN,I4LD,0,0.0,Deaths,JHU,0,-10000,0,0
35,2020-04-22,IN,H4,681,36.0,Deaths,JHU,1785,178,1079,2551
36,2020-05-13,IN,H5,2551,136.0,Deaths,JHU,4534,1079,3434,6088
37,2020-04-02,IN,H6,72,14.0,Deaths,JHU,448,4,226,721
38,2020-03-05,US,C1,12,1.0,Deaths,JHU,264,0,43,1741
39,2020-03-19,US,C2,264,73.0,Deaths,JHU,7955,12,1741,21176
40,2020-03-01,US,C3,1,0.0,Deaths,JHU,70,0,21,574
41,2020-03-11,US,C4,33,5.0,Deaths,JHU,1329,0,191,6452
42,2020-03-17,US,C5,132,35.0,Deaths,JHU,5272,7,1003,16803
43,2020-03-15,US,C6,70,12.0,Deaths,JHU,3484,1,574,12457
44,2020-03-14,US,C7,58,7.0,Deaths,JHU,2892,1,464,10889
45,2020-02-02,US,C8,0,0.0,Deaths,JHU,0,-10000,0,0
46,2020-02-02,US,I4D,0,0.0,Deaths,JHU,0,-10000,0,0
47,2020-02-02,US,I4L,0,0.0,Deaths,JHU,0,-10000,0,0
48,2020-02-02,US,I4LD,0,0.0,Deaths,JHU,0,-10000,0,0
49,2020-03-27,US,E1,2259,518.0,Deaths,JHU,23403,51,9348,38599
50,2020-03-27,US,E2,2259,518.0,Deaths,JHU,23403,51,9348,38599
51,2020-03-27,US,I2D,2259,518.0,Deaths,JHU,23403,51,9348,38599
52,2020-03-06,US,E3,14,2.0,Deaths,JHU,365,0,51,2259
53,2020-03-06,US,H4,14,2.0,Deaths,JHU,365,0,51,2259
54,2020-03-06,US,H5,14,2.0,Deaths,JHU,365,0,51,2259
55,2020-02-07,US,E4,0,0.0,Deaths,JHU,0,0,0,0
56,2020-03-16,US,H1,97,27.0,Deaths,JHU,4180,6,762,14233
57,2020-02-28,US,H2,0,0.0,Deaths,JHU,51,0,14,365
58,2020-03-10,US,H6,28,6.0,Deaths,JHU,1003,0,132,5272
59,2020-02-03,ID,C1,0,0.0,Deaths,JHU,0,-10000,0,0
60,2020-03-15,ID,C2,5,0.0,Deaths,JHU,114,0,48,198
61,2020-03-15,ID,H3,5,0.0,Deaths,JHU,114,0,48,198
62,2020-03-03,ID,C3,0,0.0,Deaths,JHU,5,0,0,55
63,2020-04-07,ID,C4,221,12.0,Deaths,JHU,616,55,459,773
64,2020-03-16,ID,C5,5,0.0,Deaths,JHU,122,0,49,209
65,2020-04-10,ID,C6,306,26.0,Deaths,JHU,689,87,520,800
66,2020-03-29,ID,C7,114,12.0,Deaths,JHU,373,5,198,582
67,2020-09-04,ID,E1,7832,82.0,Deaths,JHU,9336,6500,8544,10218
68,2020-04-01,ID,E2,157,21.0,Deaths,JHU,469,19,240,635
69,2020-04-01,ID,E3,157,21.0,Deaths,JHU,469,19,240,635
70,2020-04-01,ID,I2D,157,21.0,Deaths,JHU,469,19,240,635
71,2020-11-19,ID,E4,15600,97.0,Deaths,JHU,17355,14348,16352,-10000
72,2020-02-17,ID,H2,0,0.0,Deaths,JHU,0,0,0,0
73,2020-07-01,ID,H4,2934,58.0,Deaths,JHU,3797,2276,3359,4459
74,2020-05-27,ID,H5,1473,55.0,Deaths,JHU,1959,1028,1698,2276
75,2020-04-05,ID,H6,198,7.0,Deaths,JHU,582,48,373,743
