,ID,Date,Cases
3155081,FR,2020-01-22,0
3155085,FR,2020-01-23,0
3155091,FR,2020-01-24,0
3155101,FR,2020-01-25,0
3155111,FR,2020-01-26,0
3155121,FR,2020-01-27,0
3155131,FR,2020-01-28,0
3155141,FR,2020-01-29,0
3155151,FR,2020-01-30,0
3155161,FR,2020-01-31,0
3155169,FR,2020-02-01,0
3155173,FR,2020-02-02,0
3155179,FR,2020-02-03,0
3155187,FR,2020-02-04,0
3155193,FR,2020-02-05,0
3155203,FR,2020-02-06,0
3155213,FR,2020-02-07,0
3155223,FR,2020-02-08,0
3155231,FR,2020-02-09,0
3155237,FR,2020-02-10,0
3155247,FR,2020-02-11,0
3155257,FR,2020-02-12,0
3155265,FR,2020-02-13,0
3155269,FR,2020-02-14,0
3155273,FR,2020-02-15,1
3155277,FR,2020-02-16,1
3155281,FR,2020-02-17,1
3155285,FR,2020-02-18,1
3155289,FR,2020-02-19,1
3155295,FR,2020-02-20,1
3155303,FR,2020-02-21,1
3155307,FR,2020-02-22,1
3155311,FR,2020-02-23,1
3155315,FR,2020-02-24,1
3155319,FR,2020-02-25,1
3155323,FR,2020-02-26,2
3155327,FR,2020-02-27,2
3155333,FR,2020-02-28,2
3155341,FR,2020-02-29,2
3155345,FR,2020-03-01,2
3155351,FR,2020-03-02,3
3155361,FR,2020-03-03,4
3155371,FR,2020-03-04,4
3155381,FR,2020-03-05,6
3155391,FR,2020-03-06,9
3155401,FR,2020-03-07,11
3155409,FR,2020-03-08,19
3155413,FR,2020-03-09,19
3155419,FR,2020-03-10,33
3155429,FR,2020-03-11,48
3155439,FR,2020-03-12,48
3155449,FR,2020-03-13,79
3155459,FR,2020-03-14,91
3155469,FR,2020-03-15,91
3155479,FR,2020-03-16,148
3155489,FR,2020-03-17,148
3155499,FR,2020-03-18,148
3155509,FR,2020-03-19,243
3155519,FR,2020-03-20,450
3155529,FR,2020-03-21,562
3155539,FR,2020-03-22,674
3155549,FR,2020-03-23,860
3155559,FR,2020-03-24,1100
3155569,FR,2020-03-25,1331
3155579,FR,2020-03-26,1696
3155589,FR,2020-03-27,1995
3155599,FR,2020-03-28,2314
3155609,FR,2020-03-29,2606
3155619,FR,2020-03-30,3024
3155629,FR,2020-03-31,3523
3155639,FR,2020-04-01,4403
3155649,FR,2020-04-02,5387
3155659,FR,2020-04-03,6507
3155669,FR,2020-04-04,7560
3155679,FR,2020-04-05,8078
3155689,FR,2020-04-06,8911
3155699,FR,2020-04-07,10328
3155709,FR,2020-04-08,10869
3155719,FR,2020-04-09,12210
3155729,FR,2020-04-10,13197
3155739,FR,2020-04-11,13832
3155749,FR,2020-04-12,14393
3155759,FR,2020-04-13,14967
3155769,FR,2020-04-14,15712
3155779,FR,2020-04-15,17148
3155789,FR,2020-04-16,17901
3155799,FR,2020-04-17,18661
3155809,FR,2020-04-18,19303
3155819,FR,2020-04-19,19694
3155829,FR,2020-04-20,20240
3155839,FR,2020-04-21,20765
3155849,FR,2020-04-22,21309
3155859,FR,2020-04-23,21825
3155869,FR,2020-04-24,22214
3155879,FR,2020-04-25,22583
